"center_idx","rho_Tp1","rmse_Tp1","rho_Tp10","rmse_Tp10","time"
400,0.96621158494908,6.42704306226518e-05,0.0139466673453426,0.000387102990868827,2399
450,0.950403644388528,8.26822879115493e-05,0.131853614443427,0.000458345228766678,2449
500,0.95858056873499,9.39379971689946e-05,0.339697222350944,0.000497116354503527,2499
550,0.931718154275538,0.000145888995225617,0.343791446380369,0.000563776733657096,2549
600,0.659532064099378,0.000561300412429082,0.211612873751792,0.000941422583342588,2599
650,0.629325598507704,0.000730795934818098,0.62876187197048,0.00106604970295753,2649
700,0.710448640301487,0.000823771967637892,0.625818317860292,0.00127861443730961,2699
750,0.591344878777218,0.00104585017547698,0.681558821996129,0.0013925105306733,2749
800,0.666312378568224,0.0011553399485889,0.693947965217429,0.0015926942218215,2799
850,0.573053097878994,0.00146232707751197,0.663290540955049,0.00185719101741786,2849
900,0.674059990078987,0.00159851145655452,0.70543479897698,0.00208074626510459,2899
950,0.649343511447059,0.00193856198100075,0.685494882455845,0.00244897438613771,2949
1000,0.677119833362148,0.00220313188260025,0.707287614109856,0.00274806228722262,2999
1050,0.676990853847245,0.00259417015451853,0.698953984011817,0.00327253567589889,3049
1100,0.673710140878086,0.00304638394942748,0.71569734018899,0.00368842296066236,3099
1150,0.705901816603741,0.0034698714248195,0.658343278219497,0.00449218976658822,3149
1200,0.664096612131692,0.00424590917856921,0.706599005132104,0.00499881698069045,3199
1250,0.723900097218606,0.00472269799673963,0.668572565626763,0.00612744765159494,3249
1300,0.656324110185376,0.00598681449700913,0.710895758450343,0.00685670044751205,3299
1350,0.71969221356615,0.00672178310904665,0.669357443645538,0.00850777979458068,3349
1400,0.646930974569761,0.00856097312529004,0.718857154768493,0.00955248398404478,3399
1450,0.712376449166301,0.0097467027800301,0.693500096785461,0.011913707709964,3449
1500,0.633857523625751,0.0124286318039152,0.70010293889846,0.0137442941751388,3499
1550,0.707451661841775,0.0142405621338808,0.697642523841193,0.0167733875088304,3549
1600,0.620898803608963,0.0183486234337498,0.710025160438546,0.0198283761153598,3599
1650,0.695626487188428,0.0211121980189133,0.69662762852964,0.0239895982350777,3649
1700,0.658529900620692,0.0268424971638298,0.708629401286193,0.0292267501348792,3699
1750,0.691907498520098,0.031811047347252,0.712696696359139,0.0349301667794466,3749
1800,0.68237842129407,0.0395484058112901,0.679072950070534,0.0442803406894513,3799
1850,0.6852017611903,0.0483972789277501,0.714918490603808,0.052862969607652,3849
1900,0.720572887921585,0.0578358867425188,0.681152770464203,0.0677583906783405,3899
1950,0.664858056835926,0.0756114865379351,0.708648173162872,0.0814080055754703,3949
2000,0.720115870935712,0.0897112312845198,0.671275035264293,0.105503371316375,3999
2050,0.640728828698385,0.120232006786741,0.711149561183488,0.126252907966225,4049
2100,0.708962597375233,0.14343507800427,0.689485099398557,0.163493114737792,4099
2150,0.621578716459508,0.193927414918559,0.687115797693385,0.201871177669281,4149
2200,0.698166961949294,0.230693426950541,0.723211427925642,0.248375190486964,4199
2250,0.709758259822368,0.290566822254523,0.690644949000447,0.323413482116742,4249
2300,0.661620481252696,0.382291022950111,0.692738705220362,0.404559327837734,4299
2350,0.716248735792189,0.461097204498204,0.690026415958995,0.52095798974576,4349
2400,0.694721359261378,0.605319820186832,0.709304350022537,0.646730712925698,4399
2450,0.669988604300772,0.78087887765452,0.703254790333672,0.82294666393531,4449
2500,0.70349649113486,0.969579756350002,0.695421225913362,1.05711726974695,4499
2550,0.726036787886766,1.21240958534202,0.678337067309265,1.36223348691877,4549
2600,0.668228658280354,1.69505087891191,0.688793018684906,1.75840182544055,4599
2650,0.610152989552916,2.43873331676591,0.645792691771698,2.48298664203968,4649
2700,0.731635784696827,2.7610168618019,0.765581839199495,2.85883469078689,4699
2750,0.468393347275917,1.83728234832625,0.422308874815858,2.01849184459891,4749
2800,0.199919198810271,1.14661199732829,-0.137916823836084,1.27206686465643,4799
2850,0.982719894942144,0.169571593960743,0.528843558951854,0.732026537190086,4849
2900,0.988487587848421,0.114410528916153,0.700222490661276,0.586058502920716,4899
2950,0.9946692643143,0.0820496476608345,0.706582411296967,0.572269394464893,4949
3000,0.994649920565385,0.1049456037354,0.784191548816336,0.613505317187853,4999
3050,0.996139584021612,0.0868061225709905,0.857655465785251,0.517751648912861,5049
3100,0.995250841628176,0.0906302811470476,0.816597573369505,0.576099540080705,5099
3150,0.995147359355996,0.086081242457419,0.745451107000046,0.568666531041133,5149
3200,0.995037468533293,0.0793067001737401,0.698065405348133,0.658195491123214,5199
3250,0.994895058957522,0.0901172375886848,0.715324227064187,0.618128155927965,5249
3300,0.996962655928718,0.0644361848278559,0.793360483747098,0.59808085857999,5299
3350,0.995989200542312,0.0703257229071057,0.739696131689954,0.590677690949823,5349
3400,0.995229394309412,0.0837019730773828,0.720352716455666,0.612196176120976,5399
3450,0.990218929822797,0.143649976219609,0.713663591048349,0.72559266364905,5449
3500,0.987634480658127,0.167333169215729,0.702901564689981,0.720931304108781,5499
3550,0.982218925889899,0.164356355891375,0.495832336178536,0.693214844842606,5549
3600,0.977462889427857,0.168413954087935,0.425202546524233,0.684133646105222,5599
3650,0.993793947837526,0.0771271556839961,0.365577916645914,0.570776819065209,5649
3700,0.995227886567233,0.0574176221191337,0.584661551476614,0.51749022417931,5699
3750,0.997027709375947,0.0460060712468342,0.695854165198694,0.47882618430884,5749
3800,0.996285171355383,0.0486026797383679,0.653255220359892,0.444020992375422,5799
3850,0.995917735660004,0.0487229156289217,0.585366602780353,0.489756891418373,5849
3900,0.99682523159948,0.0435214232440882,0.525710455464475,0.516233859625168,5899
3950,0.995783749694411,0.0519696740745398,0.527714930706498,0.521236433807123,5949
4000,0.99618775185931,0.0488712983027541,0.531561854546963,0.50187637970994,5999
4050,0.995707896855869,0.0574649345580902,0.5427869637529,0.524435577845859,6049
4100,0.99838729456148,0.0410847190198642,0.685452540828876,0.493902749064116,6099
4150,0.995400415560056,0.0809993320887892,0.654073899582019,0.591555729798008,6149
4200,0.991293874100471,0.11726697512922,0.709340088131101,0.559689327529015,6199
4250,0.979603679385782,0.266783429618718,0.728683169848626,0.760072274177164,6249
4300,0.982935893880997,0.218133931210596,0.737860432734797,0.666116417936477,6299
4350,0.966278086015473,0.203124877332307,0.379790980429263,0.679499879991847,6349
4400,0.993303374800713,0.0728626725563067,0.519207061135116,0.512765680836676,6399
4450,0.994963395705752,0.0676049721260909,0.583996720775111,0.586807199952315,6449
4500,0.995117077219414,0.0829753667540785,0.691080247057151,0.591418821051265,6499
4550,0.995549577952945,0.0782165960049694,0.686589911735861,0.617651842275629,6549
4600,0.996615806024141,0.0775798414134568,0.788775573287896,0.541133204795816,6599
4650,0.996518366478427,0.0638308065707208,0.780975950427307,0.5402493279537,6649
4700,0.995778630442982,0.0755160664467408,0.70726147871459,0.573974894463262,6699
4750,0.996292639191417,0.0772580391893018,0.736984217687699,0.566891920227585,6749
4800,0.997034870349452,0.068763985425754,0.743043220629077,0.611942836541144,6799
4850,0.994128714522061,0.108016532405513,0.739463012512373,0.645836100777114,6849
4900,0.992219376860271,0.0952299418333281,0.642988163047172,0.638553066297535,6899
4950,0.990537751754998,0.103534118077015,0.565639699898817,0.619409494233662,6949
5000,0.995392653889996,0.0523484296795024,0.491579730668697,0.519716814021162,6999
5050,0.996489364175075,0.059763032852578,0.624049937588293,0.53900685385424,7049
5100,0.997724361765466,0.0479512768597848,0.661826602802562,0.557443630384535,7099
5150,0.996476725711514,0.0770009040952475,0.696922314940332,0.61896991457088,7149
5200,0.996970887478243,0.0610479324272423,0.776976628250324,0.525517894039952,7199
5250,0.996724665114353,0.0692343407631753,0.748427179699962,0.555201153241928,7249
5300,0.997466220319121,0.0667256119318587,0.755392729429016,0.581548701336597,7299
5350,0.998165162311889,0.0517063638541416,0.742937859999292,0.586712082336057,7349
5400,0.994616720025229,0.101192070585432,0.778014056928413,0.600777808038201,7399
5450,0.993480476974054,0.094566415399435,0.791626090915521,0.520550208482572,7449
5500,0.990937097951796,0.103984800748042,0.610560712745798,0.589698973245241,7499
5550,0.992670001424091,0.0773146051354799,0.600965387447533,0.505851466526992,7549
5600,0.99563561534617,0.06783588341978,0.592139551063074,0.542607461997039,7599
